-0.01691,-8e-05,0.52435,-2e-05,0.00087,0.00058,-0.89966,-0.00864,0.01527,1.75038,-0.87267,0.01757,-0.89936,0.00875,-0.01522,1.7504,-0.87267,-0.01753,1.59564,0.147,0.37,2e-05,0.00014,9e-05,-3e-05,-6e-05,0,-1e-05,-1e-05,0.00017,7e-05,-0,3e-05,0,2e-05
0.00565147,-0.0171915,0.530371,0.0263919,0.0481803,0.0161075,-0.900086,-0.0196213,-0.0243634,1.6897,-0.823627,0.0120527,-0.895351,-0.0255388,-0.0826451,1.69933,-0.87267,-0.0338585,1.39718,0.115654,0.326862,-0.16738,0.00905449,-0.01008,0.0118948,-0.00616239,-0.104945,0.0161322,-0.106667,-0.0214541,-0.0556023,-0.0966877,-0.00423075,-0.0532225,-0.0151656
0.00754642,-0.0159198,0.578505,0.0218206,0.0470234,0.0179426,-0.785664,-0.0253594,-0.0304624,1.47356,-0.735045,0.0187538,-0.780653,-0.0234361,-0.0770382,1.48419,-0.777261,-0.0410443,1.08744,0.0873446,0.206897,-0.162814,0.00750474,-0.00967291,0.011027,-0.00625867,-0.102348,0.0163839,-0.105074,-0.0203762,-0.0562807,-0.093904,-0.00462103,-0.0514851,-0.0119604
-0.0106996,0.0200078,0.574923,-0.0885589,0.0447382,-0.0185224,-0.847615,0.075275,0.00959502,1.5286,-0.755546,0.00447493,-0.822661,0.0858954,-0.00349655,1.45903,-0.732645,-0.0148067,1.04863,0.0886764,0.192156,-0.197572,0.0608462,-0.0140089,0.0485371,0.0531768,-0.149792,0.0500412,-0.141199,-0.0195216,-0.0413813,-0.0973157,-0.0274035,-0.0599696,-0.0338486
0.00347114,0.000865459,0.612326,-0.0328332,0.0252878,0.0016703,-0.706238,0.0266801,-0.0139803,1.33504,-0.66653,0.00443489,-0.679483,0.0356096,-0.0279774,1.28202,-0.675087,-0.0383353,0.74163,0.0533893,0.089797,-0.263932,0.0467445,-0.00990979,0.0404375,0.0229606,-0.180187,0.0380938,-0.173938,-0.033458,-0.0709471,-0.141816,-0.0177931,-0.0819995,-0.0362341
0.00776291,-0.0363008,0.609852,0.0691399,0.0712649,-0.144362,-0.677154,0.14039,0.131547,1.32459,-0.657909,-0.0138772,-0.778842,0.0844885,0.0491605,1.3321,-0.674076,-0.0232019,0.602654,0.0287797,0.0566871,-0.350144,0.115093,-0.0103807,0.130423,0.111332,-0.116174,0.0121387,-0.182746,0.003195,-0.0537946,-0.0794812,-0.0212399,-0.0643708,-0.101462
-0.00476754,-0.0116341,0.615052,0.114896,-0.0165815,-0.111946,-0.582605,-0.00199834,0.148104,1.26528,-0.622287,0.0378561,-0.706694,0.0101286,0.0926296,1.34511,-0.680103,-0.099353,0.508333,0.0133382,0.0332181,-0.386033,-0.00368099,0.0532747,0.239908,0.148351,-0.0423539,-0.0897959,-0.145088,-0.0130976,-0.0840535,0.00827029,0.0384619,-0.0294135,-0.104747
0.000701666,-0.00962377,0.620784,0.0956198,0.0417702,0.000811182,-0.651709,-0.0627023,0.133606,1.24371,-0.585501,0.00357168,-0.704809,-0.0365757,0.113275,1.36189,-0.647599,-0.0358373,0.446994,0.00414383,0.0160886,-0.407547,-0.0156347,-0.065922,0.361844,0.212274,0.0549625,-0.0679039,-0.0290073,-0.0285848,-0.131712,0.0759885,0.13212,-0.0116762,-0.101664
0.0127988,0.0250244,0.623431,0.0813687,0.0960321,-0.0570235,-0.693561,-0.112822,0.115525,1.17426,-0.639101,0.0367163,-0.755932,-0.0842897,0.104303,1.32863,-0.628692,0.00669889,0.484631,0.0122525,0.00700306,-0.454832,-0.0832819,0.0238743,0.459061,0.325236,0.0264928,-0.131775,-0.0179837,-0.0381637,-0.143682,0.0969269,0.151881,-0.00363124,-0.115257
-0.00203788,-0.00260925,0.62605,0.064086,0.0243317,-0.0492373,-0.636161,-0.0681,0.062841,1.18043,-0.622662,0.0810668,-0.702602,-0.0430807,0.0459264,1.35406,-0.631205,-0.0511709,0.320634,0.0418795,0.0175722,-0.431085,-0.145765,0.08917,0.523866,0.432618,-0.00561478,-0.107966,-0.0538663,-0.050976,-0.197723,0.0626626,0.0679368,0.139153,-0.0337506
-0.00277615,-0.0157603,0.64465,0.0787655,-0.0314297,-0.0473423,-0.590652,-0.038186,0.0349327,1.2237,-0.571908,0.0206806,-0.625055,-0.0379876,0.0335326,1.3322,-0.63166,-0.0810798,0.163202,0.00420222,0.0301276,-0.401769,-0.134812,-0.0755421,0.60381,0.522497,0.03396,0.00251519,-0.0316374,-0.0727281,-0.282651,0.0165661,-0.000912098,0.268727,0.0637036
-5.50747e-05,-0.0261791,0.62233,0.0977822,-0.0756517,-0.0396996,-0.531319,-0.0486639,0.0321588,1.2301,-0.577387,0.00552249,-0.585236,-0.0273837,0.00796747,1.34827,-0.643209,-0.110998,0.0346623,-0.0270697,0.0452401,-0.374243,-0.189364,-0.148945,0.662386,0.494119,0.0884989,0.0472648,0.0178698,-0.0886154,-0.373027,-0.00845907,-0.0453134,0.351273,0.161435
0.0282888,-0.0023905,0.642359,-0.0124803,-0.0419283,-0.0199365,-0.471144,0.0374446,0.0110273,1.19845,-0.635126,0.0400535,-0.498052,-0.00143691,-0.0337662,1.23979,-0.650523,-0.0606233,-0.0535851,-0.0492681,0.0581622,-0.336715,-0.218601,-0.21708,0.689785,0.493999,0.0882289,0.0981357,0.0716325,-0.0776656,-0.456121,0.0153666,-0.0573475,0.301399,0.23725
